"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",8.03023263412099,6.20363077421598,63.8625767097165,4.17244772018546e-161,2.07787896465236e-156,357.937413470333
"SETP2",-5.46837909539119,1.73878759373869,-56.4951625699183,2.96820288287033e-148,7.39082517834711e-144,328.586922780033
"FAM83H",7.60036835286748,9.79794362747458,55.9182605325609,4.2476304751319e-147,7.05106658871896e-143,325.943635632846
"WWC1",8.41854613252777,8.96734866158213,54.8846943913861,3.74861898297094e-145,4.66703063379882e-141,321.492901345511
"ST14",7.35280269327573,11.4807013216416,53.8456131610162,3.64174133335217e-143,3.62717436801876e-139,316.945244580187
"SMPDL3B",8.79431911312736,8.23853872043441,53.6342581803777,9.3216005673197e-143,7.73692847087535e-139,316.011060283821
"EPCAM",9.83755415581294,11.3858541591755,53.234907602689,5.55159125985855e-142,3.94956063915651e-138,314.237355259135
"SKA3",6.81537477720344,7.08792197805259,52.7713851962781,4.46640415623341e-141,2.7803365872553e-137,312.164417239115
"AF001548.3",-5.91598062662216,2.09199662626756,-52.5162692940812,1.18716833220738e-140,6.56899810488083e-137,311.192638002032
"MARVELD2",5.76691191715096,8.22236355372441,52.4155619709563,2.2365875084152e-140,1.11382057919077e-136,310.562648122802
"SAPCD2",7.40108340911626,8.63518278819444,52.2618192930843,4.49878730016987e-140,2.036723704986e-136,309.867721788041
"FRMD6-AS2",-7.47741555393093,2.71079046726706,-52.22583016925,5.2716514006052e-140,2.18773533125116e-136,309.710078450652
"CDC20",7.30895876589573,9.40603210344523,50.8569705909134,2.89126943091342e-137,1.10757859738068e-133,303.436935801462
"SUPT20HL1",-4.8534982892074,1.57125000037502,-50.0947145448471,8.68153732362824e-136,3.08814684797633e-132,300.052166292037
"MAL2",8.65804231331601,9.91133253063139,49.1862926918383,7.65849697398369e-134,2.54262099536258e-130,295.594029829651
"FAM83H-AS1",7.99502293621252,7.32474259915189,48.7267345178156,6.953699749755e-133,2.16433904711124e-129,293.398232182618
"KDF1",8.07805757783409,7.41212299566043,48.6950331285419,8.10165059977821e-133,2.37330705805268e-129,293.246137439177
